Population size: 1000	Vaccination Percentage: 0.1	Virus Sniffles	Mortality Rate: 0.12	Basic Reproduction Number: 0.5
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff710>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f48d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f6f50>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705090>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fcf90>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f48d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f76d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff510>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046e7fd0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fbe50>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fde10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f72d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f58d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f4190>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x104705b10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f9dd0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f9810>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fc790>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fd5d0>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fd390>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff510>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fd110>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fd650>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fef10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f7390>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fc2d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fef50>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ffc10>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046f7b90>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fdb90>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fa7d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fc0d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046ff690>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fb5d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fb5d0>, New Infections: New Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fe890>, New Infections: No Infection
Step <person.Person object at 0x1046e7c10>: Interactions: <person.Person object at 0x1046fc4d0>, New Infections: No Infection
